Greater than 3.79,Acceptees,4,9,58,298,"1,007","2,603","4,945","6,573","6,312","6,893","28,702"
"",Applicants,159,320,726,"1,584","3,272","5,435","7,957","8,778","7,711","7,848","43,790"
"",Acceptance rate %,2.5,2.8,8.0,18.8,30.8,47.9,62.1,74.9,81.9,87.8,65.5
3.60-3.79,Acceptees,3,8,55,300,"1,017","2,181","3,770","4,670","3,526","2,364","17,894"
"",Applicants,382,613,"1,313","2,492","4,251","6,291","7,565","7,228","4,793","2,924","37,852"
"",Acceptance rate %,0.8,1.3,4.2,12.0,23.9,34.7,49.8,64.6,73.6,80.8,47.3
3.40-3.59,Acceptees,5,10,53,266,748,"1,340","2,034","2,290","1,552",881,"9,179"
"",Applicants,570,846,"1,593","2,683","4,023","5,059","5,472","4,497","2,494","1,252","28,489"
"",Acceptance rate %,0.9,1.2,3.3,9.9,18.6,26.5,37.2,50.9,62.2,70.4,32.2
3.20-3.39,Acceptees,1,6,35,155,424,683,865,865,571,252,"3,857"
"",Applicants,705,835,"1,474","2,183","2,821","3,176","2,921","2,170","1,123",443,"17,851"
"",Acceptance rate %,0.1,0.7,2.4,7.1,15.0,21.5,29.6,39.9,50.8,56.9,21.6
3.00-3.19,Acceptees,3,7,17,94,226,327,359,339,168,100,"1,640"
"",Applicants,777,743,"1,030","1,433","1,596","1,591","1,411","1,004",408,201,"10,194"
"",Acceptance rate %,0.4,0.9,1.7,6.6,14.2,20.6,25.4,33.8,41.2,49.8,16.1
2.80-2.99,Acceptees,5,3,14,30,67,126,132,86,48,24,535
"",Applicants,673,549,659,700,756,737,565,324,169,58,"5,190"
"",Acceptance rate %,0.7,0.5,2.1,4.3,8.9,17.1,23.4,26.5,28.4,41.4,10.3
2.60-2.79,Acceptees,0,4,2,11,34,44,33,21,23,6,178
"",Applicants,468,320,396,354,401,267,186,113,57,18,"2,580"
"",Acceptance rate %,0.0,1.3,0.5,3.1,8.5,16.5,17.7,18.6,40.4,33.3,6.9
2.40-2.59,Acceptees,0,1,3,8,5,12,17,12,4,-,64
"",Applicants,331,176,175,170,124,93,69,46,16,-,"1,206"
"",Acceptance rate %,0.0,0.6,1.7,4.7,4.0,12.9,24.6,26.1,25.0,-,5.3
2.20-2.39,Acceptees,0,0,0,2,5,8,5,3,-,-,29
"",Applicants,194,96,83,61,44,39,32,21,-,-,579
"",Acceptance rate %,0.0,0.0,0.0,3.3,11.4,20.5,15.6,14.3,-,-,5.0
2.00-2.19,Acceptees,0,0,1,0,-,1,-,-,-,,3
"",Applicants,107,30,29,20,-,13,-,-,-,,221
"",Acceptance rate %,0.0,0.0,3.4,0.0,-,7.7,-,-,-,,1.4
Less than 2.00,Acceptees,0,1,1,0,,-,-,-,,,2
"",Applicants,51,14,14,10,,-,-,-,,,94
"",Acceptance rate %,0.0,7.1,7.1,0.0,,-,-,-,,,2.1
All Applicants,Acceptees,21,49,239,"1,164","3,533","7,325","12,160","14,859","12,209","10,524","62,083"
"",Applicants,"4,417","4,542","7,492","11,690","17,297","22,703","26,187","24,186","16,779","12,753","148,046"
"",Acceptance rate %,0.5,1.1,3.2,10.0,20.4,32.3,46.4,61.4,72.8,82.5,41.9
